"Product name ","Short Description","Regular Price","SKU","Attr - Basin","Attr - Basin Value","Attr - Shower Name","Attr - Shower  Value","Attr  Kitchen Name","Attr - Kitchen Value","Attr - Seat Allied Products Name","Attr - Allied Products Value","Attr - Colour","Attr - Colour Value","Attr - Coneald Parts","Attr - Coneald Part Value","Concealed Body SKU Code","Concealed Body MRP","Exposed Part MRP","Collection Icon","Collection","Functions","Ranges","Categories","Image URL"
"C72 Wall Mixer Single Lever 2-in-1 System with Provision for Over Head Shower","","12000","AF720241CHBR","Basin Area","","Shower Area","Wall Mixer Single Lever       ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300136CHBR---Wall-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300136CHBR---Wall-Mi.png"
"C72 Bath Spout","","2500","AF720331CHBR","Basin Area","","Shower Area","Bath Spout ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C72","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300141CHBR---Wall-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300141CHBR---Wall-Mi.png"
"C72 Bath Spout with Tipton","","3100","AF720336CHBR","Basin Area","","Shower Area","Bath spout with tipton ","Kitchen Area","","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C72","Faucets>Shower Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300301CHBR---Exposed.png"
"C72 Sink Mixer Single Lever Wall Mounted with 230 mm Swinging Spout","","8500","AF720281CHBR","Basin Area","","Shower Area","","Kitchen Area","Wall Mounted Sink Mixer ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300336CHBR---Bathtub.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300336CHBR---Bathtub.png"
"C72 Sink Mixer Single Lever Table Mounted with 230mm Swinging Spout","","9000","AF720286CHBR","Basin Area","","Shower Area","","Kitchen Area","Table Mounted Single Lever Sink Mixer ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Single Lever","C72","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300176CHBR---Sink-Co.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300176CHBR---Sink-Co.png"
"C72 Sink Cock Table Mounted with 230 mm Swinging Spout","","5300","AF720191CHBR","Basin Area","","Shower Area","","Kitchen Area","Table mounted Sink cock with long Spout ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300186CHBR---Sink-Co.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300186CHBR---Sink-Co.png"
"C72 Sink Cock Wall Mounted with 150 mm Swinging Spout","","4500","AF720176CHBR","Basin Area","","Shower Area","","Kitchen Area","Wall Mounted Sink Cock ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300276CHBR---Sink-Mi.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300276CHBR---Sink-Mi.png"
"C72 Sink Cock Table Mounted with 150 mm Swinging Spout","","4700","AF720186CHBR","Basin Area","","Shower Area","","Kitchen Area","Table mounted Sink Cock ","Allied Products","","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Kitchen Area","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300156CHBR---Bib-Coc.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300156CHBR---Bib-Coc.png"
"C72 Bib Cock Long Body","","2700","AF720156CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Bib Cock ","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300161CHBR---Bib-Coc.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300161CHBR---Bib-Coc.png"
"C72 Bib Cock 2 Way","","3000","AF720161CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Bib Cock 2 Way ","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","Quarter Turn ","C72","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300126CHBR---Exposed.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300126CHBR---Exposed.png"
"C72 Concealed Flush Cock","","2900","AF720126CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Flush Cock ","Colour ","Chrome","Coneald Parts","","AF900931CHBR","1900","1000","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C72","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png"
"C72 Angle Cock","","1900","AF720166CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Angle Cock ","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C72","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300171CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300171CHBR---Angle-C.png"
"C72 Angle Cock 2 Way","","3800","AF720171CHBR","Basin Area","","Shower Area","","Kitchen Area","","Allied Products","Angle Cock 2 Way ","Colour ","Chrome","Coneald Parts","","","","","https://astralbathware.com/wp-content/uploads/2022/06/celestia-1.png","Celestia","","C72","Faucets>Allied Products ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png ||  https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/A1---AF300166CHBR---Angle-C.png"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
